date,stress,energy,mood,burnout,sleep,time_spent,break_day
2023-09-05,4,5,6,3,8,1.6,False
2023-09-06,3,7,7,0,8,1.2,False
2023-09-07,3,6,4,3,10,1.9,False
2023-09-08,4,8,6,2,7,3.4,False
2023-09-09,,,,,,,
2023-09-10,5,5,7,3,6,1.4,False
2023-09-11,6,5,6,3,6,3.1,False
2023-09-12,6,4,4,3,6,4.6,False
2023-09-13,6,5,3,4,5,5.0,False
2023-09-14,6,4,5,3,5,3.9,False
2023-09-15,6,3,4,3,5,4.5,False
2023-09-16,5,4,5,3,6,2.4,False
2023-09-17,4,6,6,3,6,3.5,False
2023-09-18,5,5,5,4,6,6.9,False
2023-09-19,5,4,4,4,6,4.3,False
2023-09-20,,,,,,,
2023-09-21,6,3,5,3,6,4.1,False
2023-09-22,3,6,6,2,8,1.7,False
2023-09-23,,,,,,,
2023-09-24,4,6,6,2,6,2.6,False
2023-09-25,6,5,6,4,5,5.2,False
2023-09-26,,,,,,,
2023-09-27,7,5,5,4,5,5.3,False
2023-09-28,8,4,5,4,5,4.9,False
2023-09-29,,,,,,,
2023-09-30,5,6,4,3,8,2.8,False
2023-10-01,,,,,,,
2023-10-02,4,6,6,3,5,5.8,False
2023-10-03,7,3,4,4,4,5.7,False
2023-10-04,,,,,,,
2023-10-05,7,4,2,4,5,4.7,False
2023-10-06,3,7,3,4,5,2.8,False
2023-10-07,4,4,4,3,5,2.2,False
2023-10-08,,,,,,,
2023-10-09,,,,,,,
2023-10-10,8,4,3,5,5,6.7,False
2023-10-11,10,4,3,6,2,7.5,False
2023-10-12,9,3,3,4,4,8.2,False
2023-10-13,6,2,5,4,5,4.6,False
2023-10-14,5,4,5,5,6,3.4,False
2023-10-15,,,,,,,
2023-10-16,8,3,4,4,2,6.5,False
2023-10-17,9,1,4,7,5,9.7,False
2023-10-18,9,4,2,5,5,7.5,False
2023-10-19,8,3,3,6,3,7.3,False
2023-10-20,7,2,2,4,5,4.3,False
2023-10-21,6,2,5,5,6,5.2,False
2023-10-22,,,,,,,
2023-10-23,,,,,,,
2023-10-24,10,2,3,6,3,9.7,False
2023-10-25,6,2,3,6,4,5.9,False
2023-10-26,7,4,5,5,4,5.4,False
2023-10-27,,,,,,,
2023-10-28,7,4,4,5,5,5.0,False
2023-10-29,6,5,4,4,4,6.4,False
2023-10-30,8,5,2,5,4,6.4,False
2023-10-31,,,,,,,
2023-11-01,,,,,,,
2023-11-02,,,,,,,
2023-11-03,4,5,6,2,7,3.3,False
2023-11-04,5,3,4,4,7,3.1,False
2023-11-05,,,,,,,
2023-11-06,,,,,,,
2023-11-07,7,4,3,5,7,5.3,False
2023-11-08,,,,,,,
2023-11-09,,,,,,,
2023-11-10,5,5,3,5,4,6.2,False
2023-11-11,,,,,,,
2023-11-12,5,4,6,4,6,4.5,False
2023-11-13,8,4,3,3,5,7.1,False
2023-11-14,9,2,2,8,3,9.4,False
2023-11-15,8,3,2,6,5,7.9,False
2023-11-16,9,2,4,7,3,7.2,False
2023-11-17,7,3,4,6,6,4.6,False
2023-11-18,4,5,5,4,7,4.0,False
2023-11-19,8,4,4,4,5,5.0,False
2023-11-20,7,3,4,6,2,7.0,False
2023-11-21,7,4,3,5,6,7.2,False
2023-11-22,7,4,2,4,5,6.4,False
2023-11-23,6,4,6,5,5,3.2,False
2023-11-24,6,3,5,4,5,3.0,False
2023-11-25,6,5,4,3,7,2.8,False
2023-11-26,7,5,5,4,5,3.1,False
2023-11-27,,,,,,,
2023-11-28,7,3,2,5,4,5.2,False
2023-11-29,6,4,4,3,6,4.1,False
2023-11-30,,,,,,,
2023-12-01,6,3,6,3,9,2.7,False
2023-12-02,,,,,,,
2023-12-03,7,2,2,5,6,4.1,False
2023-12-04,8,3,3,6,4,7.9,False
2023-12-05,,,,,,,
2023-12-06,10,2,2,7,3,10.5,False
2023-12-07,9,2,4,7,4,9.7,False
2023-12-08,9,3,3,7,4,9.9,False
2023-12-09,10,2,2,9,3,9.8,False
2023-12-10,9,3,4,7,4,5.7,False
2023-12-11,7,4,3,8,4,8.9,False
2023-12-12,8,3,3,7,6,5.4,False
2023-12-13,,,,,,,
2023-12-14,,,,,,,
2023-12-15,10,3,1,7,4,8.1,False
2023-12-16,,,,,,,
2023-12-17,9,0,3,8,5,5.5,False
2023-12-18,10,3,2,7,5,8.0,False
2023-12-19,5,3,3,7,4,5.3,False
2023-12-20,6,4,5,6,7,6.1,False
2023-12-21,8,3,4,7,3,5.5,False
