taskId,title,description,courseId,recurrence,priority,exam,occurrenceId,date_due,note,isCompleted,isCancelled
cmput272-6a216f4c,CMPUT 272 Timed Seminar Quiz 1,Biweekly timed in-person seminar quiz; manageable but requires preparation,CMPUT272,biweekly,3,False,occ-d62b742809,2025-01-14,Reconstructed consistent Tuesday seminar schedule,True,False
cmput272-63f973c6,CMPUT 272 Timed Seminar Quiz 2,Biweekly timed in-person seminar quiz; manageable but requires preparation,CMPUT272,biweekly,3,False,occ-04358c840e,2025-01-28,Reconstructed consistent Tuesday seminar schedule,True,False
cmput272-410d8873,CMPUT 272 Timed Seminar Quiz 3,Biweekly timed in-person seminar quiz; manageable but requires preparation,CMPUT272,biweekly,3,False,occ-87414954c8,2025-02-11,Reconstructed consistent Tuesday seminar schedule,True,False
cmput272-250a42dc,CMPUT 272 Timed Seminar Quiz 4,Biweekly timed in-person seminar quiz; manageable but requires preparation,CMPUT272,biweekly,3,False,occ-9863573cb6,2025-02-25,Reconstructed consistent Tuesday seminar schedule,True,False
cmput272-8f6b29da,CMPUT 272 Timed Seminar Quiz 5,Biweekly timed in-person seminar quiz; manageable but requires preparation,CMPUT272,biweekly,3,False,occ-c7dc712536,2025-03-11,Reconstructed consistent Tuesday seminar schedule,True,False
cmput272-449c9cc6,CMPUT 272 Timed Seminar Quiz 6,Biweekly timed in-person seminar quiz; manageable but requires preparation,CMPUT272,biweekly,3,False,occ-6017059859,2025-03-25,Reconstructed consistent Tuesday seminar schedule,True,False
cmput272-5b96a0bf,CMPUT 272 Midterm 1,First midterm,CMPUT272,once,5,True,occ-69a368578b,2025-02-11,Estimated date,True,False
cmput272-ab0fb32c,CMPUT 272 Midterm 2,Second midterm,CMPUT272,once,5,True,occ-f3b2f59756,2025-03-18,Estimated date,True,False
cmput272-111550cb,CMPUT 272 Final,"Final exam at 5:30 PM, 3 hours",CMPUT272,once,6,True,occ-e9cd55f007,2025-04-12,Known final date,True,False
phys230-cf6d17a4,PHYS 230 Lab 1,Biweekly in-person lab; generally not difficult,PHYS230,biweekly,2,False,occ-d0641bdd47,2025-01-16,Thursday lab schedule reconstructed from timetable,True,False
phys230-a95f163d,PHYS 230 Lab 2,Biweekly in-person lab; generally not difficult,PHYS230,biweekly,2,False,occ-b271dec5c9,2025-01-30,Thursday lab schedule reconstructed from timetable,True,False
phys230-b984a1db,PHYS 230 Lab 3,Biweekly in-person lab; generally not difficult,PHYS230,biweekly,2,False,occ-654721d14f,2025-02-13,Thursday lab schedule reconstructed from timetable,True,False
phys230-77bcc167,PHYS 230 Lab 4,Biweekly in-person lab; generally not difficult,PHYS230,biweekly,2,False,occ-2922bee61f,2025-02-27,Thursday lab schedule reconstructed from timetable,True,False
phys230-72c015ee,PHYS 230 Lab 5,Biweekly in-person lab; generally not difficult,PHYS230,biweekly,2,False,occ-7440827f72,2025-03-13,Thursday lab schedule reconstructed from timetable,True,False
phys230-9e21bba6,PHYS 230 Lab 6,Biweekly in-person lab; generally not difficult,PHYS230,biweekly,2,False,occ-f74ab8ce3b,2025-03-27,Thursday lab schedule reconstructed from timetable,True,False
phys230-139e479e,PHYS 230 Assignment 1,Easy biweekly assignment,PHYS230,biweekly,2,False,occ-45a8d97692,2025-01-17,Consistent reconstructed Friday due date,True,False
phys230-99f0f62a,PHYS 230 Assignment 2,Easy biweekly assignment,PHYS230,biweekly,2,False,occ-3198726d50,2025-01-31,Consistent reconstructed Friday due date,True,False
