date,stress_wma_3,stress_wma_7,energy_wma_3,energy_wma_7,mood_wma_3,mood_wma_7,burnout_wma_3,burnout_wma_7,sleep_wma_3,sleep_wma_7,time_spent_wma_3,time_spent_wma_7,days_until_next_exam,tasks_in3,tasks_in7,exams_in3,exams_in7,priority_sum7,avgppt7,max_priority7,course_count,course_count7,course_priority_load7,burnout
2023-09-05,4.0,4.0,5.0,5.0,6.0,6.0,3.0,3.0,8.0,8.0,1.6000000000000003,1.6,37,0,1,0,0,2,2.0,2,6,1,2.0,3.0
2023-09-06,3.4,3.4615384615384617,6.2,6.076923076923077,6.6,6.538461538461538,1.2,1.3846153846153846,8.0,8.0,1.3599999999999999,1.3846153846153846,36,0,2,0,0,4,2.0,2,6,2,4.0,0.0
2023-09-07,3.1666666666666665,3.2777777777777777,6.166666666666667,6.055555555555555,5.333333333333333,5.555555555555555,2.0,2.0,9.0,8.777777777777779,1.6166666666666665,1.5833333333333333,35,0,3,0,0,9,3.0,5,6,3,9.0,3.0
2023-09-08,3.5,3.5,7.166666666666667,6.681818181818182,5.5,5.681818181818182,2.0,2.0,8.166666666666666,8.227272727272727,2.533333333333333,2.1636363636363636,34,1,4,0,0,14,3.5,5,6,4,14.0,2.0
2023-09-09,3.8333333333333335,3.64,7.666666666666667,7.08,5.666666666666667,5.76,2.1666666666666665,2.0,7.5,7.88,3.15,2.532,33,1,4,0,0,14,3.5,5,6,4,14.0,2.0
2023-09-10,4.5,4.0,6.5,6.592592592592593,6.5,6.074074074074074,2.5,2.259259259259259,6.5,7.37037037037037,2.4,2.281481481481481,32,2,4,0,0,14,3.5,5,6,4,14.0,3.0
2023-09-11,5.333333333333333,4.535714285714286,5.5,6.214285714285714,6.333333333333333,6.071428571428571,2.8333333333333335,2.4642857142857144,6.166666666666667,6.964285714285714,2.5833333333333335,2.514285714285714,31,3,5,0,0,16,3.2,5,6,4,12.8,3.0
2023-09-12,5.833333333333333,5.0,4.5,5.642857142857143,5.166666666666667,5.571428571428571,3.0,2.642857142857143,6.0,6.607142857142857,3.5666666666666664,3.0928571428571425,30,3,6,0,0,19,3.1666666666666665,5,6,4,12.666666666666666,3.0
2023-09-13,6.0,5.392857142857143,4.666666666666667,5.357142857142857,3.8333333333333335,4.892857142857143,3.5,3.0714285714285716,5.5,6.071428571428571,4.55,3.664285714285714,29,3,6,0,0,19,3.1666666666666665,5,6,4,12.666666666666666,4.0
2023-09-14,6.0,5.678571428571429,4.333333333333333,4.892857142857143,4.166666666666667,4.857142857142857,3.3333333333333335,3.107142857142857,5.166666666666667,5.642857142857143,4.383333333333333,3.8249999999999997,28,2,6,0,0,22,3.6666666666666665,5,6,4,14.666666666666666,3.0
2023-09-15,6.0,5.857142857142857,3.6666666666666665,4.25,4.166666666666667,4.535714285714286,3.1666666666666665,3.142857142857143,5.0,5.392857142857143,4.383333333333334,4.064285714285714,27,2,6,0,0,18,3.0,5,6,5,15.0,3.0
2023-09-16,5.5,5.714285714285714,3.6666666666666665,4.035714285714286,4.666666666666667,4.535714285714286,3.0,3.142857142857143,5.5,5.464285714285714,3.35,3.7392857142857143,26,3,5,0,0,13,2.6,5,6,4,10.4,3.0
2023-09-17,4.666666666666667,5.285714285714286,4.833333333333333,4.464285714285714,5.333333333333333,4.821428571428571,3.0,3.107142857142857,5.833333333333333,5.571428571428571,3.3000000000000003,3.7250000000000005,25,3,6,0,0,15,2.5,5,6,5,12.5,3.0
2023-09-18,4.666666666666667,5.142857142857143,5.166666666666667,4.607142857142857,5.333333333333333,4.892857142857143,3.5,3.3214285714285716,6.0,5.678571428571429,5.016666666666667,4.485714285714286,24,4,7,0,0,17,2.4285714285714284,5,6,5,12.142857142857142,4.0
2023-09-19,4.833333333333333,5.035714285714286,4.666666666666667,4.5,4.666666666666667,4.75,3.8333333333333335,3.5,6.0,5.785714285714286,5.033333333333333,4.460714285714286,23,4,6,0,0,15,2.5,5,6,5,12.5,4.0
2023-09-20,5.0,4.964285714285714,4.166666666666667,4.392857142857143,4.166666666666667,4.607142857142857,4.0,3.642857142857143,6.0,5.892857142857143,4.733333333333333,4.446428571428571,22,2,5,0,0,12,2.4,5,6,5,12.0,4.0
2023-09-21,5.5,5.178571428571429,3.5,4.071428571428571,4.5,4.678571428571429,3.5,3.5357142857142856,6.0,5.964285714285714,4.199999999999999,4.4071428571428575,21,3,6,0,0,17,2.8333333333333335,5,6,5,14.166666666666668,3.0
2023-09-22,4.333333333333333,4.642857142857143,4.666666666666667,4.535714285714286,5.333333333333333,5.0,2.6666666666666665,3.1785714285714284,7.0,6.5,2.9333333333333336,3.7607142857142857,20,3,6,0,0,17,2.8333333333333335,5,6,6,17.0,2.0
2023-09-23,3.5,4.214285714285714,5.5,4.892857142857143,5.833333333333333,5.25,2.1666666666666665,2.857142857142857,7.666666666666667,6.928571428571429,2.1,3.214285714285715,19,2,5,0,0,16,3.2,5,6,5,16.0,2.0
