taskId,title,description,courseId,recurrence,priority,exam,occurrenceId,date_due,note,isCompleted,isCancelled
cmput274-7383e860,CMPUT 274 Assignment 1,Biweekly programming assignment,CMPUT274,biweekly,4,False,occ-b2870391d9,2024-09-13,Consistent reconstructed due weekday,True,False
cmput274-0ae9af1e,CMPUT 274 Assignment 2,Biweekly programming assignment,CMPUT274,biweekly,4,False,occ-f893e27bf6,2024-09-27,Consistent reconstructed due weekday,True,False
cmput274-a6ee4bef,CMPUT 274 Assignment 3,Biweekly programming assignment,CMPUT274,biweekly,4,False,occ-99414e1298,2024-10-11,Consistent reconstructed due weekday,True,False
cmput274-584afe2c,CMPUT 274 Assignment 4,Biweekly programming assignment,CMPUT274,biweekly,4,False,occ-12d4d12404,2024-10-25,Consistent reconstructed due weekday,True,False
cmput274-88700129,CMPUT 274 Assignment 5,Biweekly programming assignment,CMPUT274,biweekly,4,False,occ-ff36286f31,2024-11-08,Consistent reconstructed due weekday,True,False
cmput274-244e7b7c,CMPUT 274 Assignment 6,Biweekly programming assignment,CMPUT274,biweekly,4,False,occ-0052945b87,2024-11-22,Consistent reconstructed due weekday,True,False
cmput274-9924e953,CMPUT 274 Midterm,Estimated midterm date,CMPUT274,once,5,True,occ-b78bcfd093,2024-10-22,Estimated,True,False
cmput274-885397cf,CMPUT 274 Final,Final exam at 8:30 AM,CMPUT274,once,6,True,occ-617955e162,2024-12-13,Known final date,True,False
ece202-75691833,ECE 202 Lab Report 1,Easy report due at the next Wednesday lab time,ECE202,biweekly,2,False,occ-454cc26552,2024-09-18,Lab held 2024-09-11; due exactly one week later,True,False
ece202-42d013e5,ECE 202 Lab Report 2,Easy report due at the next Wednesday lab time,ECE202,biweekly,2,False,occ-d77d6aebcf,2024-10-02,Lab held 2024-09-25; due exactly one week later,True,False
ece202-25af2e55,ECE 202 Lab Report 3,Easy report due at the next Wednesday lab time,ECE202,biweekly,2,False,occ-58b238bb08,2024-10-16,Lab held 2024-10-09; due exactly one week later,True,False
ece202-6f4c77ae,ECE 202 Lab Report 4,Easy report due at the next Wednesday lab time,ECE202,biweekly,2,False,occ-fa20187906,2024-10-30,Lab held 2024-10-23; due exactly one week later,True,False
ece202-a6e77f6b,ECE 202 Lab Report 5,Easy report due at the next Wednesday lab time,ECE202,biweekly,2,False,occ-a237b312f5,2024-11-13,Lab held 2024-11-06; due exactly one week later,True,False
ece202-daf0b01d,ECE 202 Lab Report 6,Easy report due at the next Wednesday lab time,ECE202,biweekly,2,False,occ-017856c920,2024-11-27,Lab held 2024-11-20; due exactly one week later,True,False
ece202-f15a4978,ECE 202 Assignment 1,Long but not conceptually difficult assignment,ECE202,biweekly,4,False,occ-dfa4e8778c,2024-09-20,Estimated consistent due weekday,True,False
ece202-c810ed8a,ECE 202 Assignment 2,Long but not conceptually difficult assignment,ECE202,biweekly,4,False,occ-d659198a75,2024-10-04,Estimated consistent due weekday,True,False
ece202-ef3035d7,ECE 202 Assignment 3,Long but not conceptually difficult assignment,ECE202,biweekly,4,False,occ-d52f50b809,2024-10-18,Estimated consistent due weekday,True,False
ece202-2b2dc4f7,ECE 202 Assignment 4,Long but not conceptually difficult assignment,ECE202,biweekly,4,False,occ-c3a1933e78,2024-11-01,Estimated consistent due weekday,True,False
