date,stress,energy,mood,burnout,sleep,time_spent,break_day
2024-01-08,4,6,6,2,6,2.4,False
2024-01-09,5,4,5,2,8,4.4,False
2024-01-10,7,4,5,5,4,4.4,False
2024-01-11,,,,,,,
2024-01-12,7,6,5,4,6,5.8,False
2024-01-13,,,,,,,
2024-01-14,9,4,5,4,7,7.7,False
2024-01-15,10,4,4,5,6,8.5,False
2024-01-16,7,5,5,4,5,7.4,False
2024-01-17,8,4,5,3,7,8.1,False
2024-01-18,7,7,5,3,6,5.6,False
2024-01-19,10,4,4,3,6,6.4,False
2024-01-20,7,5,5,5,6,5.4,False
2024-01-21,9,4,6,2,6,6.3,False
2024-01-22,10,4,2,4,6,7.8,False
2024-01-23,,,,,,,
2024-01-24,7,4,5,4,6,3.1,False
2024-01-25,6,6,5,4,7,2.3,False
2024-01-26,7,5,5,3,5,5.7,False
2024-01-27,7,5,6,4,6,3.9,False
2024-01-28,,,,,,,
2024-01-29,9,3,5,4,5,7.8,False
2024-01-30,8,5,4,3,6,7.2,False
2024-01-31,,,,,,,
2024-02-01,6,5,5,3,5,3.6,False
2024-02-02,,,,,,,
2024-02-03,5,6,7,2,5,3.2,False
2024-02-04,5,6,5,3,6,3.4,False
2024-02-05,8,4,5,4,6,5.8,False
2024-02-06,7,3,5,3,5,5.2,False
2024-02-07,7,5,5,3,7,5.0,False
2024-02-08,8,5,5,4,6,6.4,False
2024-02-09,10,3,3,5,5,9.5,False
2024-02-10,,,,,,,
2024-02-11,10,2,3,7,4,10.7,False
2024-02-12,10,1,3,8,4,13.8,False
2024-02-13,10,5,3,5,6,9.4,False
2024-02-14,10,4,4,5,6,8.8,False
2024-02-15,,,,,,,
2024-02-16,,,,,,,
2024-02-17,4,6,7,4,6,3.9,False
2024-02-18,6,5,4,3,6,4.4,False
2024-02-19,6,3,5,4,6,4.0,False
2024-02-20,5,5,5,3,6,2.5,False
2024-02-21,,,,,,,
2024-02-22,7,5,3,4,4,6.3,False
2024-02-23,,,,,,,
2024-02-24,,,,,,,
2024-02-25,,,,,,,
2024-02-26,10,2,2,8,3,13.7,False
2024-02-27,10,2,1,6,5,12.3,False
2024-02-28,10,3,2,6,4,12.7,False
2024-02-29,10,4,4,5,5,9.8,False
2024-03-01,10,4,4,5,6,8.4,False
2024-03-02,8,3,4,4,6,8.5,False
2024-03-03,9,4,4,5,6,8.1,False
2024-03-04,10,2,2,7,4,11.1,False
2024-03-05,9,4,5,4,6,6.1,False
2024-03-06,10,3,4,5,6,7.0,False
2024-03-07,,,,,,,
2024-03-08,8,3,5,6,5,6.1,False
2024-03-09,,,,,,,
2024-03-10,,,,,,,
2024-03-11,9,4,5,5,6,8.1,False
2024-03-12,9,4,5,4,6,7.3,False
2024-03-13,7,4,7,4,6,6.7,False
2024-03-14,7,3,6,5,5,6.5,False
2024-03-15,10,4,3,6,5,8.2,False
2024-03-16,,,,,,,
2024-03-17,7,6,4,5,7,6.5,False
2024-03-18,10,2,4,6,6,7.9,False
2024-03-19,10,4,4,6,5,6.2,False
2024-03-20,,,,,,,
2024-03-21,10,4,5,4,5,8.2,False
2024-03-22,9,5,2,6,4,7.7,False
2024-03-23,10,3,5,5,5,7.9,False
2024-03-24,10,3,3,5,4,9.5,False
2024-03-25,10,3,4,5,4,11.3,False
2024-03-26,7,4,4,4,5,6.4,False
2024-03-27,,,,,,,
2024-03-28,8,3,6,4,7,6.0,False
2024-03-29,7,6,4,2,6,6.2,False
2024-03-30,5,5,7,5,5,4.3,False
2024-03-31,6,4,4,5,5,4.6,False
2024-04-01,8,3,5,4,6,4.3,False
2024-04-02,6,5,6,4,6,2.5,False
2024-04-03,8,4,4,5,8,5.1,False
2024-04-04,5,6,6,4,6,3.5,False
2024-04-05,,,,,,,
2024-04-06,,,,,,,
2024-04-07,10,4,4,6,7,8.5,False
2024-04-08,10,1,1,8,3,12.8,False
2024-04-09,,,,,,,
2024-04-10,10,3,2,7,4,13.5,False
2024-04-11,10,2,2,9,3,11.4,False
2024-04-12,,,,,,,
2024-04-13,10,0,2,8,3,12.4,False
2024-04-14,10,2,3,6,3,9.3,False
2024-04-15,10,1,2,9,5,10.5,False
2024-04-16,10,2,4,6,7,8.5,False
2024-04-17,9,2,3,5,4,4.8,False
2024-04-18,,,,,,,
2024-04-19,10,4,3,5,5,5.7,False
2024-04-20,9,5,5,5,6,6.5,False
2024-04-21,4,6,5,5,7,0.2,True
2024-04-22,6,4,5,5,7,3.9,False
